"country","iso3c","region"
"Afghanistan","AFG","SCA"
"Angola","AGO","SSA"
"Albania","ALB","Europe"
"Argentina","ARG","LAC"
"Armenia","ARM","SCA"
"Antigua and Barbuda","ATG","LAC"
"Azerbaijan","AZE","SCA"
"Burundi","BDI","SSA"
"Benin","BEN","SSA"
"Burkina Faso","BFA","SSA"
"Bangladesh","BGD","SCA"
"Bahrain","BHR","MENA"
"Bosnia and Herzegovina","BIH","Europe"
"Belarus","BLR","Europe"
"Belize","BLZ","LAC"
"Bolivia","BOL","LAC"
"Brazil","BRA","LAC"
"Barbados","BRB","LAC"
"Bhutan","BTN","SCA"
"Botswana","BWA","SSA"
"Central African Republic","CAF","SSA"
"Chile","CHL","LAC"
"China (People's Republic of)","CHN","EAP"
"Côte d'Ivoire","CIV","SSA"
"Cameroon","CMR","SSA"
"Democratic Republic of the Congo","COD","SSA"
"Congo","COG","SSA"
"Colombia","COL","LAC"
"Comoros","COM","SSA"
"Cabo Verde","CPV","SSA"
"Costa Rica","CRI","LAC"
"Cuba","CUB","LAC"
"Djibouti","DJI","SSA"
"Dominica","DMA","LAC"
"Dominican Republic","DOM","LAC"
"Algeria","DZA","MENA"
"Ecuador","ECU","LAC"
"Egypt","EGY","MENA"
"Eritrea","ERI","SSA"
"Ethiopia","ETH","SSA"
"Fiji","FJI","EAP"
"Micronesia","FSM","EAP"
"Gabon","GAB","SSA"
"Georgia","GEO","SCA"
"Ghana","GHA","SSA"
"Guinea","GIN","SSA"
"Gambia","GMB","SSA"
"Guinea-Bissau","GNB","SSA"
"Equatorial Guinea","GNQ","SSA"
"Grenada","GRD","LAC"
"Guatemala","GTM","LAC"
"Guyana","GUY","LAC"
"Honduras","HND","LAC"
"Croatia","HRV","Europe"
"Haiti","HTI","LAC"
"Indonesia","IDN","EAP"
"India","IND","SCA"
"Iran","IRN","MENA"
"Iraq","IRQ","MENA"
"Jamaica","JAM","LAC"
"Jordan","JOR","MENA"
"Kazakhstan","KAZ","SCA"
"Kenya","KEN","SSA"
"Kyrgyzstan","KGZ","SCA"
"Cambodia","KHM","EAP"
"Kiribati","KIR","EAP"
"Saint Kitts and Nevis","KNA","LAC"
"Lao People's Democratic Republic","LAO","EAP"
"Lebanon","LBN","MENA"
"Liberia","LBR","SSA"
"Libya","LBY","MENA"
"Saint Lucia","LCA","LAC"
"Sri Lanka","LKA","SCA"
"Lesotho","LSO","SSA"
"Morocco","MAR","MENA"
"Moldova","MDA","Europe"
"Madagascar","MDG","SSA"
"Maldives","MDV","SCA"
"Mexico","MEX","LAC"
"Marshall Islands","MHL","EAP"
"North Macedonia","MKD","Europe"
"Mali","MLI","SSA"
"Myanmar","MMR","SCA"
"Montenegro","MNE","Europe"
"Mongolia","MNG","EAP"
"Mozambique","MOZ","SSA"
"Mauritania","MRT","SSA"
"Mauritius","MUS","SSA"
"Malawi","MWI","SSA"
"Malaysia","MYS","EAP"
"Namibia","NAM","SSA"
"Niger","NER","SSA"
"Nigeria","NGA","SSA"
"Nicaragua","NIC","LAC"
"Nepal","NPL","SCA"
"Nauru","NRU","EAP"
"Oman","OMN","MENA"
"Pakistan","PAK","SCA"
"Panama","PAN","LAC"
"Peru","PER","LAC"
"Philippines","PHL","EAP"
"Palau","PLW","EAP"
"Papua New Guinea","PNG","EAP"
"Democratic People's Republic of Korea","PRK","EAP"
"Paraguay","PRY","LAC"
"Rwanda","RWA","SSA"
"Saudi Arabia","SAU","MENA"
"Sudan","SDN","SSA"
"Senegal","SEN","SSA"
"Solomon Islands","SLB","EAP"
"Sierra Leone","SLE","SSA"
"El Salvador","SLV","LAC"
"Somalia","SOM","SSA"
"Serbia","SRB","Europe"
"Sao Tome and Principe","STP","SSA"
"Suriname","SUR","LAC"
"Eswatini","SWZ","SSA"
"Seychelles","SYC","SSA"
"Syrian Arab Republic","SYR","MENA"
"Chad","TCD","SSA"
"Togo","TGO","SSA"
"Thailand","THA","EAP"
"Tajikistan","TJK","SCA"
"Turkmenistan","TKM","SCA"
"Timor-Leste","TLS","EAP"
"Tonga","TON","EAP"
"Trinidad and Tobago","TTO","LAC"
"Tunisia","TUN","MENA"
"Türkiye","TUR","Europe"
"Tuvalu","TUV","EAP"
"Tanzania","TZA","SSA"
"Uganda","UGA","SSA"
"Ukraine","UKR","Europe"
"Uruguay","URY","LAC"
"Uzbekistan","UZB","SCA"
"Saint Vincent and the Grenadines","VCT","LAC"
"Venezuela","VEN","LAC"
"Viet Nam","VNM","EAP"
"Vanuatu","VUT","EAP"
"Samoa","WSM","EAP"
"Yemen","YEM","MENA"
"South Africa","ZAF","SSA"
"Zambia","ZMB","SSA"
"Zimbabwe","ZWE","SSA"
